layer,n,k,num_expert,m_pe,m_pe_padded,total_rows,backend,gran_k,t_us
fc1,4096,7168,8,1024,1024,8192,dg,128,1058.816
fc1,4096,7168,8,1024,1024,8192,cutlass,128,1427.616
fc1,4096,7168,8,4096,4096,32768,cute_sm120,32,4044.8
fc1,4096,7168,8,4096,4096,32768,cudnn,32,4005.888
fc1,4096,7168,8,4096,4096,32768,dg,32,4483.072
fc1,4096,7168,8,4096,4096,32768,cutlass,32,7490.08
fc1,4096,7168,8,4096,4096,32768,cute_sm120,128,3937.28
fc1,4096,7168,8,4096,4096,32768,dg,128,4022.272
fc1,4096,7168,8,4096,4096,32768,cutlass,128,4743.648
fc2,7168,4096,8,1,1,8,cute_sm120,32,215.04
fc2,7168,4096,8,1,16,8,cudnn,32,258.048
fc2,7168,4096,8,1,128,8,dg,32,299.008
fc2,7168,4096,8,1,1,8,cutlass,32,593.376
fc2,7168,4096,8,1,1,8,cute_sm120,128,210.944
fc2,7168,4096,8,1,128,8,dg,128,276.48
fc2,7168,4096,8,1,1,8,cutlass,128,552.768
fc2,7168,4096,8,4,4,32,cute_sm120,32,221.184
fc2,7168,4096,8,4,16,32,cudnn,32,256.0
fc2,7168,4096,8,4,128,32,dg,32,299.008
fc2,7168,4096,8,4,4,32,cutlass,32,627.552
fc2,7168,4096,8,4,4,32,cute_sm120,128,217.088
fc2,7168,4096,8,4,128,32,dg,128,276.48
fc2,7168,4096,8,4,4,32,cutlass,128,558.176
fc2,7168,4096,8,8,8,64,cute_sm120,32,225.28
fc2,7168,4096,8,8,16,64,cudnn,32,256.0
fc2,7168,4096,8,8,128,64,dg,32,301.056
fc2,7168,4096,8,8,8,64,cutlass,32,736.192
fc2,7168,4096,8,8,8,64,cute_sm120,128,219.136
fc2,7168,4096,8,8,128,64,dg,128,276.48
fc2,7168,4096,8,8,8,64,cutlass,128,548.16
fc2,7168,4096,8,16,16,128,cute_sm120,32,225.28
fc2,7168,4096,8,16,16,128,cudnn,32,258.048
fc2,7168,4096,8,16,128,128,dg,32,301.056
fc2,7168,4096,8,16,16,128,cutlass,32,597.216
fc2,7168,4096,8,16,16,128,cute_sm120,128,223.232
fc2,7168,4096,8,16,128,128,dg,128,276.48
fc2,7168,4096,8,16,16,128,cutlass,128,544.352
fc2,7168,4096,8,192,192,1536,cute_sm120,32,335.872
fc2,7168,4096,8,192,192,1536,cudnn,32,337.952
fc2,7168,4096,8,192,256,1536,dg,32,370.688
fc2,7168,4096,8,192,192,1536,cutlass,32,1406.592
fc2,7168,4096,8,192,192,1536,cute_sm120,128,329.728
fc2,7168,4096,8,192,256,1536,dg,128,333.824
fc2,7168,4096,8,192,192,1536,cutlass,128,626.72
fc2,7168,4096,8,256,256,2048,cute_sm120,32,325.664
fc2,7168,4096,8,256,256,2048,cudnn,32,342.048
fc2,7168,4096,8,256,256,2048,dg,32,372.736
fc2,7168,4096,8,256,256,2048,cutlass,32,818.496
fc2,7168,4096,8,256,256,2048,cute_sm120,128,321.568
fc2,7168,4096,8,256,256,2048,dg,128,337.92
fc2,7168,4096,8,256,256,2048,cutlass,128,613.056
fc2,7168,4096,8,1024,1024,8192,cute_sm120,32,1077.28
fc2,7168,4096,8,1024,1024,8192,cudnn,32,1071.104
fc2,7168,4096,8,1024,1024,8192,dg,32,1146.88
fc2,7168,4096,8,1024,1024,8192,cutlass,32,2300.576
fc2,7168,4096,8,1024,1024,8192,cute_sm120,128,1054.72
fc2,7168,4096,8,1024,1024,8192,dg,128,1062.912
fc2,7168,4096,8,1024,1024,8192,cutlass,128,1451.552
fc2,7168,4096,8,4096,4096,32768,cute_sm120,32,4100.128
fc2,7168,4096,8,4096,4096,32768,cudnn,32,4024.32
fc2,7168,4096,8,4096,4096,32768,dg,32,4331.52
fc2,7168,4096,8,4096,4096,32768,cutlass,32,7596.032
fc2,7168,4096,8,4096,4096,32768,cute_sm120,128,4005.888
fc2,7168,4096,8,4096,4096,32768,dg,128,4050.976
fc2,7168,4096,8,4096,4096,32768,cutlass,128,4802.432
